text,sentimen
  buat hari   sih sangat guna     jalan jauh   sih mikir   pake charging station     keluar kota saudara   kota buat charge   banyak stasiun chrargenya jg   kaya bensin tinggal isi beberapa menit langsung jalan   butuh waktu     sebentar   kritis  banget    mungkin nyolokin minimarket or rumah  orang ,negatif
bapak luhut panjaitan yth baik pakai dulu dinas masyarakat lihat hasil jangan dijejeli subsidi laku pakai logika maaf masyarakat beli terimakasih,positif
subsidi motor   jalan umum tolak system,negatif
apa sieh kok mbulet asli yo tiap spbu seluruh indonesia tempat nge charge wes laku orng   mau beli knp milih   konvensional   keluar kota khawatir mau ngecarger wong   semua tempat sedia masak   keluar daerah pulang ditowing   lucu,negatif
buat larang jual kendara konvensional,negatif
tambah bikin rakyat susah,netral
ekosistem siap malah maksain suruh beli kendara   sesuai banget,positif
jual ev naik jual genset bakal naik ni,positif
contohin dulu semua menteri dpr mpr guna listri,negatif
sedia station charging masalah   motor   rame   notaben sering pake jalan jauh was was habis batre   sation ribet   motor paling pake komplek,negatif
subsidi bbm cabut mahal trus muncul si bilang hemat sih analogi okok non okok banyak teori     rokok hari sekian bulan sekian tahun kebel nmax fakta     rokok   kebel motor  tetap    sama kredit biarpun   rokok   kumpul duit segitu pake bbm keluar biaya sekian biaya perawan dl tahun sekian juta   pake cuma sekian,negatif
harga sperpartnya,positif
ev msih nyaman dsni   dipaksain paling cman jabodetabek kota besar provinsi   tahan beli dlu skalian nunggu sodium battery solidstate battery,positif
nungguin ganti lithium solid state battery rilis resmi,positif
dukung terus doa negara makmur produksi sndirikan,positif
suat   baru kata   jaman dlu kala efisien tinggal ngerepotin efisien mahal mudah rusak beda brand beda bentuk baterai beda bentuk power outlet beda besar baterai dl,positif
pake atur   buat jd laku   larang bahkan ancam pidana   jual beli   non listtik gampang,negatif
  masyarakat ingin harga jual batre   murah baru mau beli,positif
aneh banget subsidi kendara pribadi pake anggar negara bayar usaha malah dorong program ada ev buat jabat ngasih duit buat kkn proyek ada ev jabat   punya saham usaha sembari dapet baru pake anggar negara   dapat ras duit pajak masyarakat kecil padahal transportasi publik sendiri pada cuman jakarta kota kota   bantu   dorong kembang layan transportasi publik rata nih padahal ahli kota nyata bijak solid transportasi publik turun macet hingga efisiensi sistem gera kota lebih tepat waktu kendara jalan lebih efisien warga kecil nikmat akhir gera ekonomi lebih lancar akibat lain kurang polusi fasilitas dukung transport publik tingkat trotoar lebar lahan pkl rapi toko pinggir jalan hidup dl masyarakat kecil lebih banyak sempat buka usaha jalan   banyak lalu transportasi publik sebab semua susah jadi paragraf ,negatif
    beli cuma   duidnya bgsd,negatif
infrastruktur bom pada harga unit mahal,negatif
coba cek jabat staf ngomong soal sehariya pakai,negatif
musim hujan banjir kek bahaya pake awat ribet ganti baterai mahal,negatif
yakin masyarakat alih apabila harga sama bahan bakar fosil produsen beri wajib produksi bentuk   sama bahan bakar fosil biasa produksi buat versi   murah ukur kecil ingat masyarakat beli mayoritas beli kendara bawa keluarga,negatif
lama bensin   laku harga lebih mahal,positif
bukan   mau beli terlalu mahal,negatif
teknologi baru developnya sempurna mesin bensin oke develop   uda ratus tahun kuatir mirip hnphone pakai tahun batre   kembung batre drop ev kerja sama ama rakkipanda viz oke sih,positif
lebih efisien   beli   duit mau korupsi  ,positif
proyek ambisius   gagal total,negatif
tempat chas tambah,netral
hayo bingung iru punya,positif
omong kosong berita mantap fakta zero,negatif
banyak bahas efisiensi kurang polusi udara ceo toyota produksi cemar udara toyota usai buat bagaimana capai jabat level ceo usaha,negatif
iya   jalan sering banget ketemu kendara jalan,positif
mending turu punya malah iklan ampun gusti,positif
apa rakyat mau chanel apa,negatif
harga jual   mahal banding kendara biasa gimana masyarakat mau beli,positif
jelas dunia butuh kendara bas dunia butuh energi baru   nyinyir go to hel   kalian,negatif
rakyat dong pikir jangan bisdis   hitung hitung rugi rakyat dakkayak,negatif
 sulit hidup promosi monopoli naik harga bensin liat irit padahal sulit,positif
modelenya krg bagus  semua ,negatif
nama beli kendara ulang ulang bbm   pakai puluh tahun rusak   baik dikit sekali rusak keluar uang   harga baru batterynya ampun sulit jangka dekat mungkin tahun,negatif
ngeri ges gharga baterainyah buat nambah bini kuda,negatif
stop bbm kelar urus simple,positif
hybrid,netral
mulai deh maen paksa dn ancam mental kolonial,negatif
sedia dulu wc tempat berak  jangan  udh mau berak baru siap biasa sih mnrt negara rncakan matang dl sblm jalan terima   baru masa  lebih  pintar kalian   das sih kyknya  ,negatif
kendara kendara kota keluar kota mikir otomatis punya kendara   tenang luar kota arti unit rumah ngk semua rakyat indonesia mampu beli unit harga murah mesin ken,negatif
harga mahal murah konvensional   harga bawah konvensional laku keras,positif
bagi gratis pajak umur hidup siap terima senang hati,positif
jt bawah bukan harga jangkau orang mikir beli ev harga jt cuma ukur agya harga agya sendiri jauh bawah   ev mau laku gampang bikin harga jual mirip sama harga lcgc,positif
analisa masyarakat malas beli takut habis baterai jalan keluar kota banyak stasiun isi baterai masalah servicenya nunggu bulan bulan garansi bentuk bagus sangat mahal mending beli mercy bmw harga lebih murah sama bentuk mewah harga murah bentuk kecil aneh mending beli avanza xpander veloz harga lebih murah,negatif
cnbc semua kantor berita asing mau coba goyang indonesia bawa rakyat gerah  lihat  jokowi   atur kayak presiden belum jual kokain   kalian rakyat kalian kerja cia dulu as senjata tukar kokain era contras made in as nikaragua rakyat kalian zombi kensington pensylvania,negatif
anggota dpr muat alas rakya kecil padahal demokrat korupsi besar besar,negatif
bukan   laku mahal,negatif
fasilitas buat ngecas bangun dulu baru jual unit,negatif
jalan   banyak     mulus,negatif
batrenya mahal   rusak,netral
lama harga saing sama bahan bakar fosil mitigasi stasiun charge mitigasi jadi antri panjang waktu isi waktu charge isi bbm kendara fosil jangan harap banyak minat milik perintah pakai jalan pintas biasa kurang kreatif contoh kereta parahyangan mati orang pindah kereta cepat terbang komersil bandara husein mati orang mau pindah kertajati jalan pintas pakai buat atur wajib dealer jual rasio kendara fosil jual jual langgar dapat beban pajak lain,negatif
naik pajak setinggi langit guna bahan bakar fossil naik harga bbm setinggi langit masyarakat alih,negatif
nyata muldoko kosong,negatif
masyarakat tengah bawah mikir sih   beli biaya rumah   berapa sanggup ampere rumah masa iya pas charge cabut kulkas alat rumah   lain dulu lama waktu charging kursi sedikit harga mahal yah mending produk   dulu bengkel semua kota hitung harga jual semua kota punya station charge jalan indo banyak   terjal lubang sanggup   mungkin jalan kota   desa desa jalan jelek gimana,negatif
tesla malaysia launching   bilang tak laku benar makin banyak malaysia singapore,netral
  mau orang langsung pindah tutup subsidi bbm subsidi,positif
sekarang bagus si perintah langkah   lebih sedikit sedikit,negatif
  laku masyarakat   ganggu produsen   mikir   ogah,negatif
mending bensin hitung ama keluar mahal,negatif
  jelas market mau high end   laku kayak avanza mana mau laku keras low end harga avanza segmen masyarakat low end harga high end   capai,positif
bingung sama perintah indonesia kalian pimpin rakyat indonesia karyawan usaha asing sih ngapain ngasih subsidi produk usaha asing   lebih prioritas   dapat subsidi perintah indonesia produk usaha lokal asli indonesia bukan produk asing   mampu beli golong kaya orang kaya   banyak duit sejak bayi lantas ngapain orang kaya kasih subsidi subsidi   relokasi   topang hidup golong   kurang mampu   lebih butuh subsidi banding orang kaya sekarang tanya negara asing mana   beri subsidi   produk indonesia   jual negara produk indonesia saing produk pasar negara dontbestupid,netral
design bajaj,netral
harga baterai   capai harga daya tahan bahan timbang penting sih hitung ongkos per bulan mungkin lebih murah mirip bbm   masalah konvensional keluar bulan   lihat mahal diabnding   sekali ganti baterai bakal mirip kayak beli baru,negatif
kurang laku karna station charge minim berapa jarak charge penuh habis bateri roda tempat service onderdil tanda tanya wajar baru orang ragu klau mau benar laku siap dlu poin atas,negatif
si joko setijowarno ngawur bilang kendara pribadi larang lewat maksud operasi x bilang tinggal batu bara   polusi sangat tinggi tuju sih apa   sadar   guna isi daya kendara bagi besar pasok pltu   bahan bakar batu bara ni bisik perintah   sengsara rakyat   laku udh jangan paksa rakyat beli padahal sadar china   negara maju   butuh waktu tahun terap sampe  sekarang  jg blm sepenuh jalan bahkan banyak lihat   tadi ngebet beli padan batrenya rusak udh taruh gitu   karna batrenya mahal,negatif
cara indonesia jngan pake batubara luhut,netral
semi bullshit ev,netral
fokus kendara umum mental,positif
transportasi umum jakarta lrt mrt bus kurang pada jangkau semua jalan jakarta terlalu sumpek macet jangan tambah tambah pribadi atau bbm benah dulu transportasi umum jalan jalan kecil bus bus layak ber ac,negatif
  jd masalah tempat chargernya   msih sedikit bykin tempat chargenya trus   ngecas cepat cepet laku  orang  mau beli mikir ngecasnya   jalan jauh,negatif
gimana mau laku harga setinggi langit dealer buat harga enak,positif
orang butuh mirah,negatif
faktor indonesia jarak tempuh harga sangat mahal rakyat kecil infrastruktur suku cadang,negatif
masalah bukan stasiun charging harga mahal jt mini beli bbm bagus,negatif
  jelas jabat tri keluarga     suka kok nyuruh masyarakat beli lucu lucu,negatif
subsidi gilir subsidi rakyat cabut semua subsidi makin sini makin liat arah,negatif
ane sales moblis singkat kendara torsi gede awal power melempem nanjak cepat tinggi baterai gatcha kualitas tiap unit beda durabilitynya jg beda daya jelajah kurang suspensi kaki ringkih oleng stabil mesin berat konvensional baterai   rata letak bawah bantu down force imbang cepat tinggi degan mulu takut mati jalan abis,negatif
mau mau cepat lambat kendara ganti kendara bahan bakar fosil konversi teknologi awal selalu jadi tentang waktu debat tolol segera lupa,negatif
lebih mndewakan motor manusia untung sua sepeda tiap kerja minggu wajib bike to work sekali berangkat p km desa kota total minggu tempuh km   sepeda   naik sepeda badan lemas ngantukan tempat kerja bike to work go green go cycling no global warning salam bike to work   mnjalankanya,positif
demokrat pikir  kok  mundur nama baru rakyat banyak tahu wajar perlu waktu jangan baru hambat dikit nyerah mental kerupuk,negatif
utama kendara umum ubah kendara masyarakat nilai sendiri plus minus langsung,positif
coba harga puluh juta motor harga juta yakin banyak beli rusak jual rusak jual banyak second otomatis onderdil limpah,positif
charger menit km baru jos,netral
  rakyat ingin jalan dulu benah baik luas panjang bukan dar membludaknya jumlah kendara jalan percuma baran tpi macet,positif
bagaimna mau laku hrganya mahal negara pajak mahal langit   korupsi jalan jalan negara bnyk lubang,negatif
mungkin dg serentak perintah guna kendara spy masyarakat contoh,positif
paling mau minimal seater ukur compact suv   harga jangkau jt,positif
halah coma main sini desa desa tanyain usaha apa hasil berapa hidup   sulit   mau pecut pecut bapak pikir kerbau cocok hidung nurut nurut   gitu negara karna rakyat jan awal pecut batrai hp   drop om soak lagi mahal ramah rakyat tengah bawah lebih tuju orang orang kaya   usaha   gedw,negatif
kendara cuma lahan kaya jabat,negatif
cnbc benar punya siapa berita kok selalu kayak sono terus,negatif
mau keluar kota cas dulu tunggu lama,negatif
harga pajak sarana prasarana lebih murah banding bbm,positif
jual duduk haduh jadiin transportadi umum dulu baru rakyat bakal susul nanti,netral
  mau keluar kota cas batere perintah sedia stasiun charger mau beli jangan cuma jual dong mas pemwrintah mikir mas mikir,negatif
 orang  suruh gnti terus tasiun isi listrikny   masuk jalur pantura blom mogok jalan mau colok mana colok idung,negatif
tarif pln turun,negatif
inti charging station super fast charging bayang semua alih ev pas mudik bakal kek apa rest area charging station macet   karuan,negatif
buat orang gunung bencana mahal bentuk jelek suara jelek lebih berat bahaya topografi tanjak contoh formula e badut motorsport,negatif
pake sama   bahan baku batubara,negatif
ingin rakyat si bbm baru mudah murah efisien rusak lingkung contoh tenaga angin tenaga air minum banyak   beli,positif
nyimak     ev kes paksa dila   laku jelas   bakal laku badut   tau masa datang mungkin,negatif
patut tesla investasi malaysia tesla tahu mampu beli warga indonesia rendah banding malaysia,negatif
cukai mahal ev mau pakai angkut umum aman banyak begal yuyu dara kaos bikin aman dulu jagan ngurus   ribet dulu,negatif
kendara ratus juta kata murah tpi kok subsidi lucu subsidi  orang  kaya terus kalang bawah anggap apa,netral
logika harga batrei cukup mahal misal  tahun  siap dana paruh harga biat ganti batrei,positif
goblok   naek gunung fasilitas sarana tukar baterai   ujung dorong fasilitas dulu bangun baru dorong alih banyak korupsi sih jabat konoha anjing cuih goblok,negatif
 tetap      tuju ramah lingkung kendaran bahan bakar bensin kurang   makin sempit jalan macet jalan,negatif
kmarin inflasi naik bbm   mas blm solusi sampeksekarng apa kerja gaji   naik,positif
ingin cuma jalan raya seluruh indonesia mulus lobang utama jalan antar propinsi kebupaten harus bukan cuma sibuk bangun tol tol bayar rakyat kecil mungkin nikmat tol bagaimana ekomoni masyrakat kecil seluruh indonesia maju jalan rusak segala butuh pokok dagang kecil angkut lewat jalan   rusak,negatif
tahun negara duit makan tikus terus rakyat mana mampu beli   usah kecepetan sah   dulu hukum mati buat jabat korupsi situ rakyat mau kok bangun negara sendiri sekarang ogah ngasih makan tikus,negatif
korupsi sih dulu jangan koar negara maju negara makin mundur penjara koruptor malah lebih mirip hotel vip gmna mau jera  ,negatif
  laku terlalu mahal,negatif
  beli senang   ps jual susah batere   pakai udh ngedrop ganti biaya sangat mahal sekali harga baru,negatif
jual jt kayak cina laku,negatif
kota besar   macet pake ev daerah   jarang macet bisa ev harga mahal ev ev   jt sangat layak model paksa sangat layak keluar kota,negatif
susah   rumah pakai token,netral
mungkin     suka masyarakat lama   umum   semua tempat tenlat charger habis batrai ribet masa iya bawa genset beda biasa   tinggal cari bbm ecer jarak jangkau relatif pendek   semua bengkel mampu baik   suara   asik   mau nambahin mungkin,negatif
  mau laku turun harga,positif
masyarakat antusias jangan terjemah antusias sama minat apa putus mau ingim beli napsu mau cuan gede malah diludahin hehe,positif
ev cuma euforia saat sebentar kg   lupa   yakin ev indonesia blm   jalan sesuai japan perintah,negatif
mahal makanya sepi minat,positif
perintah baik mikirin energi bersih dulu bangkit dominasi pake batubara   sok,positif
mau murah   dipake mudik buat apa sampe taun kuda   bakal ngalahin lcgc bensin     kasi solusi dulu,negatif
indonesia lucu bukan buat ev sok mau jd early adopter jalan   banyak rusak transportasi badut motor parkir jalan raya   usa sok nambah jenis kendara   manage,positif
pakai   semua jabat negara masuk presiden laku,negatif
kampanye hybrid   perlu charging station pakai bbm lebih irit,positif
harga mahal bakar sendiri pas mati parkir bensin aman mana padam jauh lebih sulit infrastruktur kurang pada   ogah beli,negatif
semua gengsi kaya kaya an,positif
mau banget ganti ev   mau wuling merek   lebih established skema gampang wuling ev harga jt jadi standar perintah subsidi toyota bzx honda prologue hyundai ioniq harga sumpah bakal banyak   ganti ev,positif
moeldoko sabda usaha isu khusus dealer isu apabila p mau beli kendara skema   jalan restitusi susah mau ngmng,negatif
rakyat mau   muraah dicharge rumah kantor,positif
perintah latah gas ikut bbg ikut esok baru hidrogen ikut hidrogen padahal infrastruktur isi ulang charge bbg stsiun minim dasar mental followers,negatif
harga ev mahal solusi perintah suruh guna non ev bayar mau pakai jalan ev wuling harga avanza mana punya size lebih besar fitur lebih banyak masuk akal pilih wuling hyundai ioniq harga pajero harga hybrid murah guna jalan bayar lalu pajak guna non ev bayar,positif
subsidi tepat kena orang duit kena orang miskin butuh duit   usah niru negara maju negara barat banyak mampu beli,negatif
design kurang garang ganteng hampir kaya hai tayo isi dikit,negatif
bikin kelas avanza expander harga sama jtan banyak   alih besar airev harga an banyak     tarik,positif
  mau banyak beli minimal stasiun charging udh sama kayak pom bensin waktu ngecas udh mnt sampe jam walaupun   subsidi ama pajak setandar tetap beli fasilitas efisiensi tara bensin,negatif
inti cuma bos ku harga muahal harga daihatsu sigra muat tumpang jamin laku sisa gampang nyusul,negatif
harga mahal rusak buang,netral
    punya duit faktor bodoh,negatif
dar curhatan guna kendara e bike brand nama indonesia tetap error rusa pakai normal spare part mahal   selalu ready e bike error tinggal angkut gotong motor gimana,negatif
bentar mau tanya indonesia berapa sih toyota suzuki honda daihatsu rakyat mana maksud bikin   kelas khusus lcgc c hybrid minimal konsumsi bbm km liter ringan pajak laku,negatif
susah pas jalan jauh kalimantan kalbar tambh cager habis gimana mau cager,netral
rakyat butuh makan bukan listik,negatif
  masyarakat percaya jangan paksa paksa lebih baik riset jadi ful bbm kelapa sawit nanti masyarakat tawar pilih ice bbm baru bev value for moneynya lebih besar pilih masyarakat,negatif
si muldoko ngomong apa sih beranta,negatif
kendara ev sasar orang orang middle atas   perintah mau target middle bawah harga turun juta buah ev terlalu mahal jt ev konvensional,netral
pesawat pakai pertamna,negatif
hidup rakyat susah perintah suruh beli motor untung bentar ganti presiden menteri ,negatif
indonesia sbg tempat buang produk cino bodoh beli   pabrik buat indonesia bukan hny keder import barang   laku,negatif
harga misal jt kn lumayan mahal terus   baterai rusak n beli baru an juta yak,netral
bijak ngawur bahan bakar monopoli perintah harga naik mau kuasa,positif
padahal bagus mahal banget atur jt bagus hampir ratus juta mungil banget harga hrv mending beli hrv kecil kaya upil,negatif
uwong e dewe sek demen krunggu suara motor seng br br br stutu tuutu nging nging dot doot guook,positif
ev sangat bahaya tiba bakar tanda api sangat sulit padam pikir x alih ev,negatif
harus perintah tau diri   semua rakyat mampu beli trs cas susah   rumah hrsnya ekonomi rakyat dulu   pikir khusus rakyat kecil hasil bawah umr,negatif
ev bukan ganti kendara bahan bakar minyak,negatif
masyarakat   mau kok paksa bodoh,netral
perintah   pernah serius   bangun   lanjut,negatif
  rakyat mau gratis makan koruptor,positif
ngeri paksa hendak untung oknum kait bahaya bila baterai bakar padam dng madam biasa sampah baterai bahaya buat lingkung salah satu bijak kocak,negatif
mahal lengkap msh batas siapa   mw beli,negatif
mimpi les nge charge   ber jam bbm polusi mana mngkin polusi hilang   mngkin laku keras deh tu ev mo murah  malas  beli mndingan beli bbm biasa,negatif
buat angkut umum ajah lebih kurang kendara jalan kurang macet,negatif
jarak sih   bikin orang milih bensin orang indo klau beli bukan cuman buat kota luar kota,negatif
coba jakarta rame karna alesan ganjil genap   kena trus banyak ev charging gratis,negatif
masuk wuling bingo lini depan byd bawah jt boom problem solve,negatif
masyarakat kecil mana beli,negatif
subsidi tepat mnurut dapat lebih baik dipake   pupuk subsidi solar nelayan,positif
motor mahal walapun udh subsidi perintah hargnya kyk matic   msh atas juta   atas mgkn   hargnya bas juta bsa lh beli,negatif
charging station tetap dikit tak laku,negatif
orang kaya mikir beli contoh beli hyundai ioniq   harga segitu   dpt pajero fortuner biji puluh agya ayla avanza xenia jaz sparepart sedia banyak jangkau harga jual punya   lebih mahal bensin masalah baterai spareparts dl     jamin long life produk gagal deh mending bikin tenaga air   energi gratis tinggal ambil air kran,negatif
masalah   atas aftersales indo   sekarang   masalah ngawur buat kendara rusak charger   butuh daya wat   besar jalan banjir macet jam monopoli   kaya beri modal belakang,negatif
rakyat butuh transportasi umum massal nyaman aman bukan kendara pribadi mahal,negatif
  mahal woi,positif
  kaya subsidi,netral
 benar  toyota   jebak ev lebih hibrid toyota mikir jauh depan ev   ganti baterai harga baru limbah baterai siapa olah ngomongin ev jadi dulu tahun an awal motor speda pernah booming hilang urus baterai mahal jangan latah evan nikel lebih langka banding minyak bumi minyak bumi ganti biofuel alternatif sparepart banyak tenaga teknis penting emisi hasil rendah ngisi ev pake pln pln emisi,negatif
indonesia   bos bahan bakar msih main   terima kalah,negatif
  statement miris jual ev ngebandingin nilai jual konvensional krg tepat sebut   misal ranah otomotif   baru perlu sesuai bagai narasi   buruk kondisi sungguh entah apa tuju lebih tepat   misal nampilin tabel growth jual awal kenal simpul akhir tolak belakang berita,negatif
kendara panel surya gaperlu ngecas ngisi bahan bakar tinggal jemur   buat chas kendara auto laku pertamina bangkrut,negatif
makanya perintah   mau ngasih subsidi motor jangan pilih kt rakyat  jangan  beda beda,negatif
simple   sih harga mahal muraj justru   worth beli,positif
banyak cerita baik dulu charging station kait infrastruktur   gtu harga mahal banget,positif
soal utama it harga mahal model aneh kurang tarik,positif
  jt brio ev bnyk   beli   jt bentuk kaya karimun ogah,netral
abis batre kota kecil gimana cara isi batre,negatif
  harga sama kek brio   beli,positif
konyol statementnya bilang tinggal energi batubara batubara orang punya sekarang megang nikel indonesia,positif
  ngeliat banyak orang miskin   hidup usaha kaya indo beli bekas     bangga suruh beli baru harga miliar,negatif
harga mobilnha negara asal banding harga indonesia gap banyak banget x lipat padahal bangun pabrik indonesia rakit produksi indonesia selisih banyak banget negara asal sama     ngebantu,positif
indonesia daerah banjir bahaya kendara motor cuci   bakar kemarin,negatif
masyarakat dh pinter jangka tahun ganti batrey harga batreynya mahal gila lebih murah bongkar turun mesin minyak hitung,positif
turut bukan kurang tahu masyarakat hitung kurang asumsi jalan km per tahun km per hari asumsi harga wuling air ev juta estimasi umur baterai tahun layak pakai x isi kwh x rb rb km tahun tahun juta estimasi harga baterai wuling tahun juta vs asumsi ice wuling confero juta bensin km liter x rb tahun juta tahun juta catat harga bensin top up ratio kmpl toleransi atas counter harga baterai anggap masuk akal asumsi atas beli lebih hemat juta per tahun capai bep butuh waktu tahun baru kata lebih hemat ice catat tidak tahu resiko ev new tech sulit pergi jarak jauh luar kota ukur lebih kecil baterai bekas apa turun efisiensi baterai sangat wajar masyarakat enggan migrasi,negatif
jarang pake   make batreinya punya masa usia sebetunya makin hari makin rusak sedikit sedikit pakai lama konsumsi batrei kurang dikit dikit   pakai tiap hari rutin iya irit apa apa maka energi kemudian isi bom praktis,negatif
orang indo suka diesel,negatif
bukan masyarakat mau ev cuma harga mahal banget,positif
sumber mana  kok  kayak asal nyeplak   jelas batrai mahal masa pakai mesin repair durasi charge lama minta ampun   ban bocor bengkel pinggir jalan banyak sekali lemah ev kalian mau survey masyarakat tengah bawah bos kalian tahu ev tak laku,negatif
boro mikir baru buat makan hari   banyak susah,negatif
kok malah sales,netral
analogi plts ev pln bbm instalasi murah ongrid   dukung perintah maksa pasang denda offgrid harga langit kalkulasi   padan   pakai pln,positif
alas sepi minat bukan daya angkut   bawa mudik kelas ekonomi teknologi sebut untuk kelas target kelas ekonomi tengah atas punya bagi buat commuting kerja bagi buat jalan keluarga kelas lirik ev padahal yakin deh rumah   lebih sanggup pribadi alas samping fitur teknologi harga per dimensi   masuk akal contoh bawah ambil contoh tipe tinggi angka harga rupiah per cm kubik dimensi sigra rupiah cm avanza rupiah cm innova rupiah cm calya rupiah cm brio rupiah cm rush rupiah cm agya rupiah cm br v rupiah cm wr v rupiah cm ayla rupiah cm veloz rupiah cm xpander rupiah cm terios rupiah cm hr v non turbo rupiah cm raize rupiah cm creta rupiah cm confero rupiah cm almaz rupiah cm stargazer rupiah cm omoda rupiah cm air ev rupiah cm ioniq rupiah cm mg ev rupiah cm   perlu jauh mau ngejar digdaya sigra avanza bahkan xpander muat banyak bawa mudik angka rupiah per cm perlu ngejar hyundai creta hrv dulu deh banyak kota kota besar   bawa mudik angka rupiah per cm air ev harga   lumayan rupiah per cm bentuk aneh mungkin buat dimensi besar raize wr v harga per dimensi rupiah per cm lebih laku ioniq angka hampir rupiah per cm x lipat kelas hr v creta innova kelas crv   cuma rupiah per cm mg ev bikin lawak waktu lom kasih tau harga sesumbar harga sangat kejut gebrak pasar ev negeri pas rilis harga nyata rupiah cm cuma beda tipis sama hyundai ioniq padahal brand image jomplang simpul main kelas hrv creta raize harga kisar rupiah cm laku keras pasti bayang creta bbm juta creta ev juta innova bbm juta innova ev juta,positif
bus transportasi umum bukan kendara pribadi,negatif
  miskin belagu mahal makanya ngk   beli juta   beli,netral
bagaimana nasib kendara bahan bakar gas dulu gembor,negatif
subsidi trik marketing,netral
teknologi baru familier teknologi bahan bakar tarik konsumen lebih cepat isi,negatif
harga terlalu mahal paling egk harga lcgc baru laris,positif
orang indonesia butuh daya angkut banyak bawa hasil kampung kijang stasiun cas banyak,negatif
judul   jelas tengah begok   rakyat mau narasumber moeldoko gaikindo   jelas usaha moblisnya sendiri   tanya rakyat sendiri,negatif
bikin ekosistem butuh pokok cipta mandiri bukan import ekonomi rakyat naik apa beli n jalan otomatis   sayang khayal belaka,negatif
kendara benar lebih simple kata fre maintenance   spt diesel gasoline drive vehicle bicara ev bukan masalah effisien   kwh km vs ltr km msh more or les gantung kendaraanya bicara electric vehicle kait energy bersih zero emisi urgency   milik masyarakat indonesia negara kembang harga ev sangat mahal banding kendara konvensional   perlu difikirkan perintah mesti konsep transform angkut masal   perlu prioritas dg ev tuju dg ide anies kait bijak beri subsidi tax reduksi ev   sgt gampang laku   dimensi buah bijak bukan solusi baik rubah mekanisme transportasi masal konvensional ev bnyk regulasi infrastructure   intensive   bicara ahli jadi buah urgency indonesia   kurang ahli dlm rumus bijak perintah   tepat dlm ambil bijak ayo jokowi bapak bisa   perlu risih ide anies baswedan tpi bangsa prioritas ide transformasi angkut umum konvensional dg ev electric drive,negatif
    hasil sampah limbah bahaya pakai manusia cerdas bbm polusi   limnah batere   bahaya,negatif
sih pribadi  rezeki  banyak beli sayang beli motor   bbm biasa   susah,negatif
masalah warga indo banyak     punya mampu beli kendara roda mikir orang   beli mending deh pikirin transportasi umum mudah hidup masyarakat,negatif
  pribadi beli ev mikir sb harga relatif lebih tinggi drpd biasa isi daya pergi cepat mudah biasa model batas indonesia bahkan   masuk spt honda e halang regulasi diupdate tempat servis batas semua bengkel erti ev ganti batre kata sangat mahal biasa bbm jauh lebih familiar banding ev mungkin bakal alih ev hingga tahun terima baik masyarakat purna jual lebih matang,negatif
atur jelas sarana pada lahan tilang baru oknum polisi,negatif
analisa tolol bukan tak laku daya beli tak,negatif
inti masyarakat sdng pikir masalah harga harga charging harga awat harga pajak,positif
tempat ngecas jarang ma mahal kendara sama bengkel banyak,positif
  ken banget punya ev harga cocok,positif
tolong   atas tu   buat bijak riset dulu akar rumput,negatif
mahal   mampu beli golonvan masyrkt tengah,netral
proyek besar oligarki cari untung h,positif
  subsidi buat angkot,netral
  guna kendara bahan bakar fosil larang otomatis kendara laku,negatif
subsidi kok pribadi si kaya kok subsidi,netral
